9	J	1628
8	R	1628
8	J	1643
7	R	1643
7	J	1658
6	R	1658
6	J	1673
10	R	1673
10	J	1688
9	R	1688
9	J	1703
8	R	1703
8	J	1718
7	R	1718
7	J	1733
6	R	1733
6	J	1748
10	R	1748
10	J	1763
9	R	1763
9	J	1778
8	R	1778
8	J	1793
7	R	1793
7	J	1808
6	R	1808
6	J	1823
10	R	1823
10	J	1838
9	R	1838
9	J	1853
8	R	1853
8	J	1868
7	R	1868
7	J	1883
6	R	1883
6	J	1898
10	R	1898
10	J	1913
9	R	1913
9	J	1928
8	R	1928
8	J	1943
7	R	1943
7	J	1958
6	R	1958
6	J	1973
10	R	1973
10	J	1988
9	R	1988
9	J	2003
8	R	2003
8	J	2018
7	R	2018
7	J	2033
6	R	2033
6	J	2048
10	R	2048
10	W	2059
9	R	2059
9	W	2069
8	R	2069
8	W	2079
7	R	2079
7	W	2089
6	R	2089
6	W	2099
0	R	2099
0	W	2099
10	J	2160
10	R	2160
10	W	2160
0	R	2160
9	J	2170
9	R	2170
9	W	2170
0	R	2170
8	J	2180
8	R	2180
8	W	2180
0	R	2180
7	J	2190
7	R	2190
7	W	2190
0	R	2190
6	J	2200
6	R	2200
6	W	2200
0	R	2200
10	J	2261
10	R	2261
9	J	2280
10	J	2280
9	R	2280
8	J	2297
7	J	2297
9	J	2297
8	R	2297
6	J	2314
8	J	2314
7	R	2314
7	J	2331
6	R	2331
6	J	2348
10	R	2348
10	J	2363
9	R	2363
9	J	2378
8	R	2378
8	J	2393
7	R	2393
7	J	2408
6	R	2408
6	J	2423
10	R	2423
10	J	2438
9	R	2438
9	J	2453
8	R	2453
8	J	2468
7	R	2468
7	J	2483
6	R	2483
6	J	2498
10	R	2498
10	J	2513
9	R	2513
9	J	2528
8	R	2528
8	J	2543
7	R	2543
7	J	2558
6	R	2558
6	J	2573
10	R	2573
10	J	2588
9	R	2588
9	J	2603
8	R	2603
8	J	2618
7	R	2618
7	J	2633
6	R	2633
6	J	2648
